filename,date,chain,tokensum,count_delegators
./snapshots/akash2023-04-08_10-47-16.csv,8/04/2023,akash,167329078.8,16
./snapshots/cheqd2023-04-08_10-47-17.csv,8/04/2023,cheqd,3.37E+14,768
./snapshots/chihuahua2023-04-08_10-47-26.csv,8/04/2023,chihuahua,8.07E+14,2131
./snapshots/comdex2023-04-08_10-47-26.csv,8/04/2023,comdex,2680110.386,8
./snapshots/cudos2023-04-08_10-48-21.csv,8/04/2023,cudos,7.12E+24,6
./snapshots/decentr2023-04-08_10-48-22.csv,8/04/2023,decentr,36123342728,71
./snapshots/desmos2023-04-08_10-48-51.csv,8/04/2023,desmos,1.83E+11,213
./snapshots/dig2023-04-08_10-48-52.csv,8/04/2023,dig,5.84E+12,139
./snapshots/evmos2023-04-08_10-48-54.csv,8/04/2023,evmos,1.02E+18,2
./snapshots/fetchhub2023-04-08_10-48-56.csv,8/04/2023,fetchhub,2.42E+24,305
./snapshots/impacthub2023-04-08_10-48-56.csv,8/04/2023,impacthub,1.06E+11,130
./snapshots/injective2023-04-08_10-48-58.csv,8/04/2023,injective,1.00E+18,1
./snapshots/jackal2023-04-08_10-48-59.csv,8/04/2023,jackal,8.61E+11,720
./snapshots/juno2023-04-08_10-49-08.csv,8/04/2023,juno,4.20E+11,14901
./snapshots/kava2023-04-08_10-49-10.csv,8/04/2023,kava,25791982055,290
./snapshots/kichain2023-04-08_10-49-13.csv,8/04/2023,kichain,1.77E+11,64
./snapshots/kujira2023-04-08_10-49-17.csv,8/04/2023,kujira,7.62E+11,2901
./snapshots/lumnetwork2023-04-08_10-49-19.csv,8/04/2023,lumnetwork,2.69E+13,283
./snapshots/meme2023-04-08_10-49-21.csv,8/04/2023,meme,2.86E+14,4779
./snapshots/migaloo2023-04-08_10-49-23.csv,8/04/2023,migaloo,2.40E+12,227
./snapshots/oraichain2023-04-08_10-49-25.csv,8/04/2023,oraichain,1008261413,190
./snapshots/persistence2023-04-08_10-50-21.csv,8/04/2023,persistence,6.97E+11,132
./snapshots/rebus2023-04-08_10-50-24.csv,8/04/2023,rebus,2.24E+24,3841
./snapshots/rizon2023-04-08_10-50-25.csv,8/04/2023,rizon,7895215259,26
./snapshots/shentu2023-04-08_10-50-26.csv,8/04/2023,shentu,93201214149,37
./snapshots/sifchain2023-04-08_10-50-28.csv,8/04/2023,sifchain,2.72E+25,934
./snapshots/stride2023-04-08_10-50-30.csv,8/04/2023,stride,77041180289,1612
./snapshots/teritori2023-04-08_10-50-32.csv,8/04/2023,teritori,1.35E+12,997
./snapshots/vidulum2023-04-08_10-50-33.csv,8/04/2023,vidulum,20278193845,51
akash2023-04-12_18-24-06.csv,12/04/2023,akash,167329078.8,16
cheqd2023-04-12_18-24-08.csv,12/04/2023,cheqd,3.36E+14,765
chihuahua2023-04-12_18-24-11.csv,12/04/2023,chihuahua,7.96E+14,2128
comdex2023-04-12_18-24-12.csv,12/04/2023,comdex,2680110.386,8
cudos2023-04-12_18-25-39.csv,12/04/2023,cudos,7.12E+24,8
decentr2023-04-12_18-25-40.csv,12/04/2023,decentr,35995021931,71
desmos2023-04-12_18-25-41.csv,12/04/2023,desmos,1.83E+11,211
dig2023-04-12_18-25-43.csv,12/04/2023,dig,5.86E+12,138
evmos2023-04-12_18-25-46.csv,12/04/2023,evmos,1.02E+18,2
fetchhub2023-04-12_18-25-48.csv,12/04/2023,fetchhub,2.47E+24,311
impacthub2023-04-12_18-26-02.csv,12/04/2023,impacthub,1.07E+11,129
injective2023-04-12_18-26-03.csv,12/04/2023,injective,1.00E+18,1
jackal2023-04-12_18-26-04.csv,12/04/2023,jackal,8.61E+11,722
juno2023-04-12_18-26-20.csv,12/04/2023,juno,4.15E+11,14908
kava2023-04-12_18-26-22.csv,12/04/2023,kava,25792434586,290
kichain2023-04-12_18-26-25.csv,12/04/2023,kichain,1.73E+11,65
kujira2023-04-12_18-26-28.csv,12/04/2023,kujira,7.75E+11,2923
lumnetwork2023-04-12_18-26-31.csv,12/04/2023,lumnetwork,2.70E+13,283
meme2023-04-12_18-26-35.csv,12/04/2023,meme,2.89E+14,4778
migaloo2023-04-12_18-26-36.csv,12/04/2023,migaloo,2.40E+12,229
oraichain2023-04-12_18-27-01.csv,12/04/2023,oraichain,1035233413,190
osmosis2023-04-12_18-27-24.csv,12/04/2023,osmosis,172811958,85
persistence2023-04-12_18-27-25.csv,12/04/2023,persistence,6.91E+11,132
rebus2023-04-12_18-27-29.csv,12/04/2023,rebus,2.24E+24,3840
rizon2023-04-12_18-27-29.csv,12/04/2023,rizon,7895215259,26
shentu2023-04-12_18-27-30.csv,12/04/2023,shentu,93203083470,37
sifchain2023-04-12_18-27-33.csv,12/04/2023,sifchain,2.74E+25,938
stride2023-04-12_18-27-35.csv,12/04/2023,stride,79414458491,1623
vidulum2023-04-12_18-27-38.csv,12/04/2023,vidulum,20280755145,51
akash2023-04-13_18-06-53.csv,13/04/2023,akash,167329078.8,16
cheqd2023-04-13_18-06-55.csv,13/04/2023,cheqd,3.37E+14,765
chihuahua2023-04-13_18-06-57.csv,13/04/2023,chihuahua,7.96E+14,2127
comdex2023-04-13_18-06-59.csv,13/04/2023,comdex,2680110.386,8
