,chain,address
0,akash,akashvaloper10xzfwyvguf6eepfewjlptwzz2ylh37a25xzeqt
1,cheqd,cheqdvaloper1s02t0gudrjggwjsfq8rr7e9dk9mfu0xv0kd355
2,chihuahua,chihuahuavaloper1tzk3kzjy7fj4w37hm5v48c2t8vvgukzcqgkz8k
3,comdex,comdexvaloper17m6rf9dhjx63d7ndun02g37kfgq68lyadw8c65
4,cosmoshub,cosmosvaloper1sgcfa5z7dmhekhf79m040natu37unyuek54tp7
5,cudos,cudosvaloper19d3xeaa6fjpz262nvjlj68cdd7kkxlnmzfwjnk
6,decentr,decentrvaloper1hu2lmrycf5m2p28g6xtg8reyh6whcfcmlgyu4h
7,desmos,desmosvaloper1np3qcmwdju3rtc4a5mavfyflum5gqsljy2vucp
8,dig,digvaloper17tfxshzyf59grmhnr9xe6v9rxkwassgwlehlfr
9,evmos,evmosvaloper15d2qqhqxvde0yp9wvewv095ln5yl44spvdmfc5
10,fetchhub,fetchvaloper1euqdrhevxg6gdzaphs7d3uulagxehex3fev6m3
11,impacthub,ixovaloper12ea7guuk0sfgmefc0588979t03l72ungg6g6fy
12,injective,injvaloper162w4wq4wenfznjkd62kesq9vsmdla3f22s629d
13,jackal,jklvaloper1p9vt93vk6jzc0hlw7cywzh7tdc6t48xen7ceyl
14,juno,junovaloper1x8u2ypdr35802tjyjqyxan8x85fzxe6sk0qmh8
15,kava,kavavaloper1dvjjqvkned0n7cx0ytsj8wt85xv3nnj9rkftx5
16,kichain,kivaloper1m039m4te0epnuq8rgq9a4tjg6snum8jch9znyu
17,kujira,kujiravaloper17200mes7mplx33x8gcegkurqmz35d7v4lydt6f
18,lumnetwork,lumvaloper16xvwljz2vqpsdzuskdlqt25e8gxmlpnfq3dcxh
19,meme,memevaloper1vrddys753qrlq55hslre0vnyussdshju3d3yy6
20,migaloo,migaloovaloper1u7u8jee62a37k5ru4eqf3psfzkxpw46rx3fd0s
21,oraichain,oraivaloper16spaytw7nhdrv9lar0quwj6eex8cw9pvmtynxd
22,osmosis,osmovaloper1mmzazkl47l9e7aqrygp5kks9n30gcc730qlmwe
23,persistence,persistencevaloper1c386cr9kzxs83h60qsuwyv8f0gnl2y47t744sq
24,rebus,rebusvaloper1y472rsstv8lwcevn96m78ucmz7szapmk9xj8f6
25,rizon,rizonvaloper1a975wv5rkk9j4zlj89pwlmct6y24076u6gkt8w
26,shentu,certikvaloper1ppeu2c9nkkptmhu2vxmwt2pjfyvn4pwl6ydulk
27,sifchain,sifvaloper1wza4vat4vv88tw3zh3zvey8f9s8djx7vxwk6g7
28,stride,stridevaloper128et6kpyl8ldcpklr2s2a6js2v7qk354xg5kxp
29,teritori,torivaloper16zqd7zvg2tpzp0rcfr3ky33dwunkprrf85fq06
30,vidulum,vdlvaloper1gfevt7l5s4gw78f25hv4a83pdz3c6eafezksu0
